Date,Open,High,Low,Close,Adj Close,Volume
2017-06-12,28405.0,28424.0,28346.0,28481.0,28481.0,0
2017-06-13,28344.0,28435.0,28344.0,28345.0,28345.0,0
2017-06-14,28470.0,28470.0,28459.0,28480.0,28480.0,0
2017-06-15,28479.0,28578.0,28479.0,28459.0,28459.0,0
2017-06-16,28548.0,28548.0,28533.0,28578.0,28578.0,0
2017-06-19,28462.0,28605.0,28462.0,28533.0,28533.0,0
2017-06-20,28631.0,28631.0,28340.0,28636.0,28636.0,0
2017-06-21,28295.0,28385.0,28295.0,28292.0,28292.0,0
2017-06-22,28303.0,28334.0,28303.0,28295.0,28295.0,0
2017-06-23,28396.0,28487.0,28396.0,28400.0,28400.0,0
2017-06-26,28382.0,28493.0,28382.0,28382.0,28382.0,0
2017-06-27,28465.0,28538.0,28465.0,28453.0,28453.0,0
2017-06-28,28495.0,28706.0,28495.0,28499.0,28499.0,0
2017-06-29,28924.0,29065.0,28924.0,28889.0,28889.0,0
2017-06-30,29037.0,29037.0,29019.0,29029.0,29029.0,0
2017-07-03,29077.0,29114.0,29001.0,29106.0,29106.0,0
2017-07-04,28987.0,28987.0,28963.0,28993.0,28993.0,0
2017-07-05,28936.0,28936.0,28896.0,28933.0,28933.0,0
2017-07-06,28881.0,28983.0,28881.0,28879.0,28879.0,0
2017-07-07,28896.0,28896.0,28883.0,28983.0,28983.0,0
2017-07-10,28887.0,28887.0,28865.0,28885.0,28885.0,0
2017-07-12,28579.0,28783.0,28579.0,28574.0,28574.0,0
2017-07-13,28944.0,28955.0,28944.0,28956.0,28956.0,0
2017-07-14,28934.0,29034.0,28934.0,28937.0,28937.0,0
2017-07-17,29189.0,29223.0,29170.0,29026.0,29026.0,0
2017-07-18,29170.0,29170.0,29132.0,29172.0,29172.0,0
2017-07-19,29200.0,29200.0,29199.0,29200.0,29200.0,0
2017-07-20,29161.0,29161.0,28969.0,29169.0,29169.0,0
2017-07-21,28720.0,29131.0,28720.0,28730.0,28730.0,0
2017-07-24,29041.0,29186.0,29041.0,29041.0,29041.0,0
2017-07-25,29190.0,29190.0,29161.0,29183.0,29183.0,0
2017-07-26,29184.0,29222.0,29184.0,29183.0,29183.0,0
2017-07-27,29139.0,29414.0,29139.0,29125.0,29125.0,0
2017-07-28,29310.0,29310.0,29295.0,29321.0,29321.0,0
2017-07-31,29325.0,29355.0,29325.0,29301.0,29301.0,0
2017-08-01,29319.0,29573.0,29319.0,29298.0,29298.0,0
2017-08-02,29573.0,29635.0,29573.0,29589.0,29589.0,0
2017-08-03,29571.0,29571.0,29487.0,29550.0,29550.0,0
2017-08-04,29323.0,29430.0,29323.0,29337.0,29337.0,0
2017-08-07,29449.0,29449.0,29218.0,29445.0,29445.0,0
2017-08-08,29186.0,29186.0,29166.0,29199.0,29199.0,0
2017-08-09,29233.0,29233.0,29104.0,29252.0,29252.0,0
2017-08-10,29065.0,29117.0,29065.0,29059.0,29059.0,0
2017-08-11,28938.0,29015.0,28938.0,28940.0,28940.0,0
2017-08-14,28954.0,29062.0,28954.0,28974.0,28974.0,0
2017-08-15,29083.0,29083.0,28818.0,29061.0,29061.0,0
2017-08-16,28826.0,28826.0,28812.0,28844.0,28844.0,0
2017-08-17,28679.0,28792.0,28679.0,28680.0,28680.0,0
2017-08-18,28755.0,28852.0,28755.0,28743.0,28743.0,0
2017-08-21,28799.0,28849.0,28799.0,28862.0,28862.0,0
2017-08-22,28746.0,28746.0,28698.0,28744.0,28744.0,0
2017-08-23,28687.0,28687.0,28680.0,28687.0,28687.0,0
2017-08-24,28587.0,28709.0,28587.0,28597.0,28597.0,0
2017-08-25,28657.0,28727.0,28657.0,28642.0,28642.0,0
2017-08-28,28596.0,28919.0,28596.0,28588.0,28588.0,0
2017-08-29,28887.0,29004.0,28887.0,28868.0,28868.0,0
2017-08-30,29103.0,29103.0,28956.0,29104.0,29104.0,0
2017-08-31,29074.0,29074.0,28844.0,29079.0,29079.0,0
2017-09-01,28858.0,28972.0,28858.0,28821.0,28821.0,0
2017-09-04,29145.0,29145.0,29008.0,29131.0,29131.0,0
2017-09-05,28984.0,29052.0,28984.0,28977.0,28977.0,0
2017-09-06,29136.0,29222.0,29136.0,29154.0,29154.0,0
2017-09-07,29217.0,29343.0,29217.0,29225.0,29225.0,0
2017-09-08,29243.0,29567.0,29243.0,29238.0,29238.0,0
2017-09-11,29680.0,29680.0,29595.0,29636.0,29636.0,0
2017-09-12,29621.0,29715.0,29621.0,29620.0,29620.0,0
2017-09-13,29677.0,29724.0,29677.0,29673.0,29673.0,0
2017-09-14,29814.0,29814.0,29810.0,29817.0,29817.0,0
2017-09-15,29946.0,30353.0,29946.0,29961.0,29961.0,0
2017-09-18,30434.0,30434.0,30298.0,30445.0,30445.0,0
2017-09-19,30254.0,30254.0,30243.0,30234.0,30234.0,0
2017-09-20,30260.0,30313.0,30260.0,30237.0,30237.0,0
2017-09-21,30545.0,30545.0,30197.0,30505.0,30505.0,0
2017-09-22,30304.0,30389.0,30304.0,30314.0,30314.0,0
2017-09-25,30351.0,30351.0,30201.0,30274.0,30274.0,0
2017-09-26,30239.0,30239.0,30057.0,30240.0,30240.0,0
2017-09-27,30113.0,30113.0,30054.0,30130.0,30130.0,0
2017-09-28,29987.0,30039.0,29987.0,30006.0,30006.0,0
2017-09-29,30056.0,30056.0,29964.0,30078.0,30078.0,0
2017-10-02,29996.0,29996.0,29798.0,30172.0,30172.0,0
2017-10-03,29748.0,29748.0,29680.0,29752.0,29752.0,0
